word	index
knows	613
anymore	614
lose	615
sounds	616
favorite	617
hour	618
learn	619
knew	620
meet	621
played	622
gym	623
internet	624
alone	625
giving	626
watched	627
forward	628
sound	629
health	630
heat	631
league	632
bro	633
weather	634
won	635
trust	636
june	637
tired	638
shut	639
super	640
12	641
wtf	642
100	643
sick	644
weird	645
who's	646
players	647
self	648
months	649
three	650
deserve	651
issue	652
tv	653
american	654
couldn't	655
business	656
america	657
sense	658
dream	659
system	660
hold	661
dad	662
inside	663
law	664
history	665
stand	666
feels	667
month	668
difference	669
welcome	670
hurt	671
later	672
11	673
takes	674
hands	675
earth	676
air	677
jesus	678
kinda	679
running	680
save	681
dark	682
public	683
act	684
lie	685
niggas	686
queen	687
rather	688
worse	689
election	690
tried	691
yesterday	692
tweets	693
fine	694
reading	695
listening	696
15	697
plan	698
rn	699
respect	700
episode	701
cry	702
thread	703
straight	704
rich	705
sign	706
version	707
app	708
swear	709
asked	710
order	711
dems	712
c	713
seriously	714
cannot	715
loved	716
art	717
wake	718
account	719
war	720
actual	721
joke	722
especially	723
awesome	724
date	725
shows	726
store	727
bus	728
king	729
social	730
songs	731
17	732
drive	733
pass	734
forever	735
1st	736
train	737
mood	738
nobody	739
voice	740
'	741
small	742
amount	743
24	744
shot	745
bet	746
wall	747
whatever	748
street	749
rt	750
couple	751
we'll	752
child	753
weeks	754
round	755
till	756
yo	757
series	758
along	759
telling	760
race	761
pic	762
experience	763
cutest	764
truly	765
works	766
given	767
friday	768
blue	769
share	770
absolutely	771
dm	772
final	773
obama	774
birthday	775
lives	776
sky	777
age	778
e	779
quite	780
children	781
low	782
interesting	783
strong	784
dumb	785
proud	786
luck	787
star	788
join	789
mine	790
lakers	791
realize	792
forgot	793
eu	794
sex	795
fucked	796
parents	797
park	798
happens	799
attention	800
drop	801
anyway	802
starting	803
easy	804
missed	805
speak	806
possible	807
yall	808
link	809
community	810
nah	811
across	812
soul	813
calling	814
lead	815
asking	816
throw	817
50	818
healthcare	819
fast	820
appreciate	821
deep	822
21	823
cold	824
cat	825
sit	826
due	827
key	828
holy	829
fear	830
needed	831
trash	832
service	833
looked	834
wear	835
f	836
movies	837
except	838
met	839
democrats	840
main	841
radio	842
special	843
price	844
spend	845
space	846
gives	847
drink	848
changed	849
pls	850
felt	851
area	852
relationship	853
son	854
process	855
sitting	856
seem	857
step	858
taken	859
eating	860
current	861
add	862
control	863
expect	864
situation	865
tax	866
2nd	867
eye	868
06	869
lies	870
near	871
currently	872
nowplaying	873
quote	874
bought	875
john	876
leaving	877
smile	878
wearing	879
themselves	880
message	881
beginning	882
peace	883
blame	884
stage	885
p	886
character	887
longer	888
walking	889
within	890
etc	891
ground	892
ive	893
south	894
lady	895
river	896
catch	897
winning	898
annoying	899
23	900
west	901
brexit	902
clear	903
market	904
broke	905
film	906
bar	907
killed	908
cuz	909
huge	910
pm	911
success	912
original	913
short	914
green	915
ugly	916
paid	917
supposed	918
totally	919
lil	920
choice	921
states	922
fair	923
ice	924
thoughts	925
thinks	926
universe	927
bottom	928
22	929
energy	930
spot	931
knowing	932
af	933
everyday	934
match	935
keeps	936
dance	937
everybody	938
laugh	939
coffee	940
missing	941
record	942
we've	943
bout	944
himself	945
cover	946
box	947
spent	948
photo	949
ride	950
event	951
bullshit	952
vs	953
m	954
members	955
safe	956
scene	957
tl	958
russia	959
july	960
tryna	961
putting	962
daily	963
starts	964
sent	965
moving	966
harry	967
somebody	968
hahaha	969
brother	970
basically	971
goal	972
gay	973
write	974
happening	975
bulls	976
moon	977
wild	978
dick	979
ah	980
turned	981
hopefully	982
stars	983
million	984
focus	985
loves	986
mouth	987
rock	988
map	989
company	990
meant	991
evil	992
completely	993
apparently	994
pull	995
table	996
republicans	997
plus	998
unless	999
cup	1000
18	1001
piece	1002
shirt	1003
london	1004
pictures	1005
minute	1006
mark	1007
page	1008
ha	1009
test	1010
mr	1011
window	1012
shouldn't	1013
longest	1014
choose	1015
k	1016
scared	1017
losing	1018
books	1019
town	1020
devil	1021
alive	1022
finished	1023
knicks	1024
deserves	1025
extra	1026
00	1027
sweet	1028
third	1029
questions	1030
problems	1031
trip	1032
didnt	1033
touch	1034
article	1035
likes	1036
issues	1037
continue	1038
national	1039
dogs	1040
g	1041
usually	1042
worry	1043
13	1044
happiness	1045
attack	1046
above	1047
la	1048
non	1049
decision	1050
political	1051
fuckin	1052
woke	1053
college	1054
mother	1055
fix	1056
driving	1057
feelings	1058
card	1059
fit	1060
facts	1061
band	1062
snap	1063
loving	1064
blood	1065
stuck	1066
block	1067
shame	1068
reality	1069
beauty	1070
finish	1071
often	1072
secret	1073
form	1074
text	1075
opinion	1076
building	1077
land	1078
killing	1079
mess	1080
based	1081
em	1082
pics	1083
english	1084
skin	1085
ill	1086
mate	1087
sucks	1088
broken	1089
east	1090
videos	1091
screen	1092
teams	1093
brain	1094
grow	1095
return	1096
16	1097
lets	1098
writing	1099
saturday	1100
press	1101
track	1102
stream	1103
none	1104
clearly	1105
local	1106
pool	1107
folks	1108
following	1109
online	1110
release	1111
paul	1112
code	1113
doubt	1114
planet	1115
hello	1116
north	1117
bag	1118
re	1119
liked	1120
where's	1121
view	1122
itself	1123
court	1124
board	1125
died	1126
serious	1127
l	1128
clean	1129
leader	1130
lit	1131
title	1132
complete	1133
pray	1134
known	1135
they'll	1136
field	1137
quality	1138
lying	1139
kick	1140
color	1141
hoping	1142
shower	1143
accept	1144
terrible	1145
sister	1146
voted	1147
wife	1148
rules	1149
v	1150
breaking	1151
laughing	1152
drunk	1153
fighting	1154
3rd	1155
americans	1156
worked	1157
dreams	1158
quick	1159
united	1160
email	1161
simple	1162
exact	1163
towards	1164
fat	1165
hardest	1166
tears	1167
term	1168
lions	1169
magic	1170
shop	1171
camera	1172
tf	1173
meeting	1174
surprised	1175
fell	1176
count	1177
usa	1178
smart	1179
sir	1180
reasons	1181
father	1182
fox	1183
available	1184
positive	1185
action	1186
results	1187
brought	1188
four	1189
offer	1190
airport	1191
details	1192
sell	1193
bless	1194
sale	1195
ways	1196
sleeping	1197
corner	1198
treat	1199
caught	1200
14	1201
hasn't	1202
opposite	1203
yea	1204
build	1205
pop	1206
you'd	1207
born	1208
travel	1209
paper	1210
busy	1211
tour	1212
25	1213
concert	1214
40	1215
nation	1216
correct	1217
bigger	1218
politics	1219
force	1220
cost	1221
majority	1222
decided	1223
pizza	1224
double	1225
value	1226
thru	1227
here's	1228
absolute	1229
dying	1230
stopped	1231
idiot	1232
bitches	1233
island	1234
kings	1235
football	1236
size	1237
heck	1238
shoot	1239
boss	1240
option	1241
jackson	1242
congrats	1243
comeback	1244
shall	1245
bruh	1246
speech	1247
it'll	1248
outta	1249
y	1250
ahead	1251
kept	1252
passed	1253
content	1254
tickets	1255
twice	1256
holding	1257
explain	1258
asleep	1259
justice	1260
senate	1261
opportunity	1262
rip	1263
comments	1264
showing	1265
afraid	1266
slow	1267
faith	1268
youtube	1269
gun	1270
lovely	1271
concept	1272
handle	1273
normal	1274
bible	1275
racist	1276
obviously	1277
culture	1278
points	1279
ending	1280
lucky	1281
singing	1282
wind	1283
smell	1284
info	1285
center	1286
stick	1287
india	1288
reach	1289
figure	1290
ugh	1291
visit	1292
beyond	1293
hurts	1294
ignore	1295
reply	1296
lack	1297
ex	1298
allowed	1299
dear	1300
blessed	1301
drama	1302
industry	1303
location	1304
hearing	1305
tea	1306
opening	1307
station	1308
conversation	1309
report	1310
effort	1311
whats	1312
mv	1313
learning	1314
likely	1315
keeping	1316
spirit	1317
button	1318
whether	1319
picks	1320
lmfao	1321
honest	1322
stories	1323
push	1324
struggle	1325
mirror	1326
mail	1327
bank	1328
notice	1329
lots	1330
crowd	1331
pride	1332
weak	1333
five	1334
chris	1335
abt	1336
ends	1337
member	1338
ended	1339
sea	1340
style	1341
protect	1342
legit	1343
cream	1344
bathroom	1345
kiss	1346
acting	1347
language	1348
somewhere	1349
they've	1350
society	1351
score	1352
learned	1353
crap	1354
taste	1355
disgusting	1356
result	1357
general	1358
judge	1359
streets	1360
sports	1361
jobs	1362
4th	1363
chill	1364
position	1365
create	1366
rule	1367
coach	1368
hype	1369
yep	1370
changes	1371
female	1372
artist	1373
storm	1374
bunch	1375
british	1376
hits	1377
places	1378
exist	1379
mention	1380
awful	1381
seat	1382
suck	1383
feet	1384
roll	1385
winner	1386
hospital	1387
george	1388
confused	1389
mistake	1390
plays	1391
characters	1392
plans	1393
meaning	1394
christ	1395
facebook	1396
note	1397
church	1398
common	1399
however	1400
traffic	1401
drinking	1402
gold	1403
st	1404
earlier	1405
upset	1406
jump	1407
anti	1408
turns	1409
jimmy	1410
ran	1411
present	1412
brown	1413
hang	1414
created	1415
contact	1416
credit	1417
talent	1418
calls	1419
easily	1420
xd	1421
realized	1422
paying	1423
jack	1424
angry	1425
orange	1426
role	1427
rights	1428
corbyn	1429
battle	1430
ima	1431
apart	1432
goals	1433
insurance	1434
chicken	1435
ladies	1436
he'll	1437
major	1438
website	1439
allah	1440
dropped	1441
fly	1442
official	1443
loud	1444
photos	1445
fandom	1446
buying	1447
fam	1448
russian	1449
comment	1450
wonderful	1451
seconds	1452
letting	1453
interested	1454
upon	1455
memories	1456
congratulations	1457
cares	1458
bye	1459
latest	1460
excuse	1461
falling	1462
channel	1463
sing	1464
speaking	1465
loss	1466
simply	1467
older	1468
republican	1469
david	1470
numbers	1471
evening	1472
closed	1473
random	1474
project	1475
doctor	1476
cross	1477
ridiculous	1478
ocean	1479
waste	1480
chat	1481
purpose	1482
response	1483
000	1484
released	1485
career	1486
certain	1487
challenge	1488
finale	1489
loveisland	1490
data	1491
lonzo	1492
beer	1493
walked	1494
students	1495
fault	1496
stan	1497
gift	1498
site	1499
funniest	1500
via	1501
aint	1502
hill	1503
netflix	1504
clothes	1505
wins	1506
tories	1507
na	1508
kitchen	1509
mental	1510
phil	1511
labour	1512
runs	1513
speed	1514
weren't	1515
cops	1516
govt	1517
standing	1518
vegas	1519
muslims	1520
wont	1521
would've	1522
pussy	1523
decide	1524
exo	1525
ticket	1526
source	1527
sunday	1528
butler	1529
sort	1530
rise	1531
muslim	1532
names	1533
id	1534
changing	1535
interview	1536
wit	1537
machine	1538
squad	1539
personal	1540
tough	1541
burn	1542
period	1543
driver	1544
afternoon	1545
sold	1546
army	1547
screaming	1548
james	1549
begin	1550
pro	1551
allow	1552
staff	1553
imma	1554
h	1555
enjoying	1556
murder	1557
rid	1558
ghost	1559
picked	1560
scary	1561
pissed	1562
cast	1563
lay	1564
indeed	1565
hide	1566
boring	1567
spread	1568
bs	1569
btw	1570
education	1571
security	1572
popular	1573
hat	1574
45	1575
trouble	1576
horrible	1577
tells	1578
feed	1579
edge	1580
average	1581
ring	1582
joy	1583
doesnt	1584
advice	1585
ability	1586
shitty	1587
generation	1588
information	1589
cars	1590
whenever	1591
address	1592
brand	1593
freedom	1594
today's	1595
switch	1596
fantastic	1597
nope	1598
posted	1599
wedding	1600
enemy	1601
hes	1602
cop	1603
finding	1604
google	1605
total	1606
avoid	1607
potential	1608
alright	1609
ps	1610
master	1611
weight	1612
moved	1613
somehow	1614
wrote	1615
j	1616
regret	1617
shoes	1618
fool	1619
background	1620
hotel	1621
warriors	1622
garden	1623
promise	1624
ship	1625
nhl	1626
louis	1627
sat	1628
worried	1629
era	1630
written	1631
tweeting	1632
mins	1633
traded	1634
congress	1635
followers	1636
dress	1637
soft	1638
celtics	1639
dj	1640
charge	1641
pure	1642
hillary	1643
parts	1644
direction	1645
further	1646
highest	1647
flight	1648
favourite	1649
pack	1650
boyfriend	1651
involved	1652
stress	1653
anime	1654
practice	1655
campaign	1656
wondering	1657
mike	1658
fish	1659
nights	1660
golden	1661
gotten	1662
anybody	1663
wanting	1664
hole	1665
lines	1666
perhaps	1667
rap	1668
surely	1669
onto	1670
fresh	1671
yours	1672
