followers_count,urls,created_at,text
16774,[],Sat Apr 08 21:00:02 +0000 2017,RT @motionhall: Get the right partner insights to find and win the best deal with machine learning and data science. #biotech #pharma #deal\xe2\x80\xa6
12700,[],Fri Apr 07 17:21:28 +0000 2017,RT @manujagg: Big Data Protection in the Age of Machine Learning\n#machinelearning #bigdata #AI #fintech...\xe2\x80\xa6 
9503,[],Fri Apr 07 17:19:03 +0000 2017,RT @DeepLearn007: Understanding Machine Learning\n#machinelearning #AI #fintech #bigdata #Marketing #healtchare #ML #tech\xe2\x80\xa6 
9326,[],Fri Apr 07 17:40:52 +0000 2017,RT @DeepLearn007: Understanding Machine Learning\n#machinelearning #AI #fintech #bigdata #Marketing #healtchare #ML #tech\xe2\x80\xa6 
7983,[],Sat Apr 08 01:54:51 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
7508,[],Fri Apr 07 17:10:19 +0000 2017,"RT @chrissyfarr: Fascinating view from radiologist @GarryChoy: ""Our field is the Silicon Valley of medicine,"" because of all the AI/machine\xe2\x80\xa6"
6876,[],Fri Apr 07 17:10:00 +0000 2017,RT @DeepLearn007: Big Data Protection in the Age of Machine Learning\n#machinelearning #bigdata #AI #fintech #ML #tech\xe2\x80\xa6 
6619,[],Sat Apr 08 21:27:37 +0000 2017,RT @voxdotcom: Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04\xe2\x80\xa6
5984,[],Sat Apr 08 01:48:31 +0000 2017,RT @DeepLearn007: Understanding Machine Learning\n#machinelearning #AI #fintech #bigdata #Marketing #healtchare #ML #tech\xe2\x80\xa6 
5952,[],Sat Apr 08 01:51:27 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
5927,[],Fri Apr 07 17:22:29 +0000 2017,RT @manujagg: Big Data Protection in the Age of Machine Learning\n#machinelearning #bigdata #AI #fintech...\xe2\x80\xa6 
5448,[],Sat Apr 08 02:01:57 +0000 2017,RT @hmason: This is very interesting - Federated Learning: Collaborative Machine Learning without Centralized Training Data https://t.co/Nl\xe2\x80\xa6
5418,[],Fri Apr 07 17:23:18 +0000 2017,RT @DeepLearn007: Maximising The Effectiveness Of Your Campaigns W/ #machinelearning #AI #bigdata #marketing #martech #ML #tech\xe2\x80\xa6 
