followers_count,urls,created_at,text
1320,[None],Thu Mar 30 23:10:11 +0000 2017,RT @CNN: SpaceX marks a historic first: Launching a used rocket then landing it safely on a remotely piloted platform\xe2\x80\xa6
37171,['http://bgr.co/26f4hr9'],Thu Mar 30 22:35:11 +0000 2017,RT @BGR: Watch SpaceX\xe2\x80\x99s historic launch live right here https://t.co/mHFSMNY02Q https://t.co/IJEALTC1a8
2211,[],Thu Mar 30 22:39:50 +0000 2017,THEY DID IT!!!! @spaceX's first stage on the droneship after its SECOND launch and landing! https://t.co/Q5riD3XvbK
1567,['http://tcrn.ch/2nklRBT'],Thu Mar 30 22:26:29 +0000 2017,TechCrunch: Just a few minutes away from the launch window for SpaceX\xe2\x80\x99s historic first attempt to reuse an orbital\xe2\x80\xa6 https://t.co/G6u4cqIg15
1201,['https://technutty.co.uk/spacex-will-make-history-ses-10-launch-march-30th-id=80769'],Thu Mar 30 22:31:42 +0000 2017,And here's a shot of the separation between stage 1 and 2 https://t.co/ywB7P8Usl7 https://t.co/VPGI9RbXXb
1696,[],Thu Mar 30 23:01:33 +0000 2017,"RT @CBSEveningNews: For the first time, @SpaceX will reuse a rocket that's been to space and back again. @BojorquezCBS explains https://t.c\xe2\x80\xa6"
174209,['http://sptnkne.ws/dWT8'],Thu Mar 30 23:10:00 +0000 2017,.@SpaceX #Falcon9's rocket recycled first stage lands on #drone ship after launch https://t.co/SfUaemZ6C3 https://t.co/AVAU1voYQR
24471,['http://tcrn.ch/2nFbrQU'],Thu Mar 30 22:25:24 +0000 2017,RT TechCrunch : SpaceX\xe2\x80\x99s live webcast of its first orbital reused rocket launch is live now. Watch here: https://t.co/65mYSLs5mW
1201,['https://twitter.com/spacex/status/847578231808991232'],Thu Mar 30 23:09:07 +0000 2017,RT @STEMSteph: Congrats to Elon and everybody over at @SpaceX. History. https://t.co/WBwZHbDPQm
8918,[],Thu Mar 30 22:31:18 +0000 2017,Successful separation! #SpaceX #SES10 #Falcon9 https://t.co/BbfBiV7SnP
5031,['https://twitter.com/hondanhon/status/847575923629019137'],Thu Mar 30 22:28:01 +0000 2017,\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/X8iZTjbXPV
18294,['http://dlvr.it/NmHwJK'],Thu Mar 30 23:04:14 +0000 2017,SpaceX makes aerospace history with successful landing of a used rocket https://t.co/S2BVdSHQq5 https://t.co/sMjpCQBpFe
4700,['http://bit.ly/2oeHOqE'],Thu Mar 30 23:14:07 +0000 2017,SpaceX launches recycled rocket in historic first     - CNET https://t.co/IIzH7PSAsi #wtfnews
1417,['http://bit.ly/2oEw1OR'],Thu Mar 30 23:04:15 +0000 2017,SpaceX marks a historic first: Launching a used rocket then landing it safely on a remotely piloted platform.\xe2\x80\xa6 https://t.co/XqeeJUkWza
1205,['https://twitter.com/SpaceX/status/847578231808991232'],Thu Mar 30 22:37:08 +0000 2017,Kudos! https://t.co/TKiNf4mtsv
1290,['http://ow.ly/fpSt30apXHn'],Thu Mar 30 22:58:13 +0000 2017,RT @WatchCTVNews: LIVE NOW: Three minutes until SpaceX relaunches orbital class rocket. #ISS #NASA #space: https://t.co/QUZuNyLTBv https://\xe2\x80\xa6
2155,[],Thu Mar 30 22:38:58 +0000 2017,RT @jonostrower: The Falcon Has Landed. Again. #SpaceX https://t.co/xrH4n6t8WM
33838,[],Thu Mar 30 22:45:13 +0000 2017,RT @BadAstronomer: Humanity now has an actual reusable rocket that is cost effective. Astonishing. Congratulations @SpaceX!
1665,[None],Thu Mar 30 22:42:08 +0000 2017,"RT @glxp: There it is! #SpaceX has just launched, and landed, a previously-used booster for the first time:\xe2\x80\xa6 "
4193,[],Thu Mar 30 23:05:43 +0000 2017,"RT @jodigralnick: So cool. Huge success for @SpaceX as the re-used Falcon launches as soon at the window opens, separates successfully."
4804,['http://dlvr.it/NmHjsy'],Thu Mar 30 22:50:11 +0000 2017,Countdown to SpaceX's first-ever launch of a used rocket https://t.co/OIYya49q3Z https://t.co/4vEIkREbYH
1804,['http://on.wsj.com/2nkK4rT'],Thu Mar 30 23:12:55 +0000 2017,RT @WSJ: SpaceX successfully launched a reused booster on a demanding commercial mission https://t.co/kdSRAVvcr2
21940,['https://twitter.com/tanyaofmars/status/847579387033669632'],Thu Mar 30 22:42:40 +0000 2017,RT @mikamckinnon: Ahahaha! Nice. https://t.co/uhhLWq4rRD
4862,['http://dlvr.it/NmHmSj'],Thu Mar 30 23:09:32 +0000 2017,RT @SPACEdotcom: SpaceX Rocket Is Reused! Satellite Launch Makes History | Video https://t.co/AMXeVORFtw https://t.co/YoliFgihm2
3148,[],Thu Mar 30 22:38:17 +0000 2017,RT @Astro_Jonny: Touchdown! #SpaceX #Falcon9 https://t.co/DuXv9RUH3I
37176,[],Thu Mar 30 22:48:10 +0000 2017,RT @AmazingSpace2: #SpaceX @elonmusk Fly and Re-fly - speaking after the historic launch and landing of the re-used #Falcon9 https://t.co/W\xe2\x80\xa6
1412,['http://ift.tt/2nFk0es'],Thu Mar 30 23:08:18 +0000 2017,Hist\xc3\xb3rico: el primer viaje de un cohete Falcon 9 reutilizado de SpaceX es un \xc3\xa9xito https://t.co/6EjgYLTsSh
3707,[],Thu Mar 30 23:03:54 +0000 2017,RT @KORANISBURNING: \xf0\x9f\x91\x89 #ImNotABot \xf0\x9f\x91\x88.  \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89#ImNotABot \xf0\x9f\x91\x88#SenateIntelligenceCommittee #SpaceX #30PlusAppreciation  yes they are https://t.co/\xe2\x80\xa6
147634,['https://twitter.com/spacex/status/847577755948429312'],Thu Mar 30 22:51:23 +0000 2017,"Congrats, @SpaceX! DARPA facilitated the 1st #SpaceX #launch, and now commercial space is coming into its own. #TBT https://t.co/OQi2aMIsTG"
2192,['http://dlvr.it/NmHwFv'],Thu Mar 30 23:04:07 +0000 2017,SpaceX recycles its rocket in historic first - CNET https://t.co/1oqYKlQ46R #infosec #kaminfo
4011,[],Thu Mar 30 22:30:06 +0000 2017,Staff taking a break from hack day to watch the @spacex launch #falcon9 https://t.co/TeQu1IZFsl
7764,['http://www.theverge.com/2017/3/30/15117096/spacex-launch-reusable-rocket-success-falcon-9-landing?utm_campaign=lorengrush&utm_content=chorus&utm_medium=social&utm_source=twitter'],Thu Mar 30 22:38:11 +0000 2017,RT @lorengrush: SpaceX makes aerospace history with successful landing of a used rocket https://t.co/7zYni6tMfU https://t.co/ZERwYxPwDp
2360,[],Thu Mar 30 22:37:16 +0000 2017,WOW Well done @SpaceX good show!
1692,[],Thu Mar 30 23:01:56 +0000 2017,RT @SpaceX: Successful deployment of SES-10 to geostationary transfer orbit confirmed. https://t.co/FkVoUYSsmq
27741,['http://dlvr.it/NmHn9S'],Thu Mar 30 22:53:38 +0000 2017,SpaceX launches and lands its first reused rocket https://t.co/fh7YvnVmw3 #AladdinsPass https://t.co/Lw5TDe2a0X
1689,['https://twitter.com/i/web/status/847579686578380802'],Thu Mar 30 22:41:59 +0000 2017,"Anyone else watch history as @SpaceX re-uses a rocket, flies payload sub-orbital, then lands rocket (again) on the\xe2\x80\xa6 https://t.co/Vg2pqp3uc8"
1939,['http://dlvr.it/NmJ1dl'],Thu Mar 30 23:12:15 +0000 2017,RT @SPACEdotcom: 'Huge Revolution In Spaceflight' - Elon Musk Comments on 1st Reused SpaceX Rocket | Video https://t.co/wwqjLXODD6 https://\xe2\x80\xa6
1391,[],Thu Mar 30 22:47:54 +0000 2017,RT @Thunder_Thrust: Congratulations #SpaceX on making history again!! LETS GOOOO!!!
2599,['http://ift.tt/2mU3oAX'],Thu Mar 30 23:08:11 +0000 2017,\xe2\x80\x98Right in the bullseye\xe2\x80\x99: SpaceX just pulled off a revolutionary rocket launch https://t.co/STYZ9kskna #Ondernemen #Nederland #Actueel
1862,[None],Thu Mar 30 23:01:05 +0000 2017,RT @cnnbrk: SpaceX marks a historic first: Launching a used rocket then landing it safely on a remotely piloted platform.\xe2\x80\xa6
4851,['http://spacex.com/webcast'],Thu Mar 30 22:12:19 +0000 2017,RT @SpaceX: Webcast of Falcon 9 launch now live \xe2\x86\x92 https://t.co/gtC39uBC7z
10194,['https://twitter.com/i/web/status/847587186937520128'],Thu Mar 30 23:11:47 +0000 2017,Watch as SpaceX launch recycled rocket for the first time in 'historic' private space mission\xe2\x80\xa6 https://t.co/LBmGPu59Op
3264,['https://twitter.com/advil/status/847578601180540928'],Thu Mar 30 22:55:50 +0000 2017,mixed feelings about spacex but this is pretty cool https://t.co/hV8QGBBKVY
5472,['http://dlvr.it/NmHzxF'],Thu Mar 30 23:08:22 +0000 2017,El Falcon 9 de SpaceX aterriza con \xc3\xa9xito en una plataforma flotante https://t.co/gFice1Fyvt https://t.co/RjSq1ZMi1m
1546,[None],Thu Mar 30 23:02:35 +0000 2017,"RT @OmanReagan: SpaceX and #Falcon9 made history today. We have the technology, it's time to build a planetary society to match.\xe2\x80\xa6 "
5414,['https://twitter.com/i/web/status/847579855000567808'],Thu Mar 30 22:47:03 +0000 2017,Congrats SpaceX on another historic launch! Our iconic launch pads at NASAKennedy continue to support the growing\xe2\x80\xa6 https://t.co/RE4UiaRNxr
3941,['http://www.theverge.com/2017/3/30/15117096/spacex-launch-reusable-rocket-success-falcon-9-landing?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter'],Thu Mar 30 22:54:52 +0000 2017,RT @verge: SpaceX makes aerospace history with successful landing of a used rocket https://t.co/jZAY32Z3ns https://t.co/jqjRt00WZK
1504,['http://ln.is/techcrunch.com/2017/U9L7e'],Thu Mar 30 23:01:25 +0000 2017,SpaceX\xe2\x80\x99s reused Falcon 9 rocket nails the landing for a second time https://t.co/Z6Bw1VaI3v https://t.co/GnRO0KVivi
13351,[],Thu Mar 30 22:36:16 +0000 2017,Landing of the rocket should be coming up soon!  That landing burn is my favorite part.  #SpaceX
7667,['http://www.theverge.com/2017/3/30/15114044/spacex-launch-live-stream-start-time-schedule-used-falcon-9-rocket'],Thu Mar 30 22:30:47 +0000 2017,RT @verge: We have liftoff for SpaceX's reused #Falcon9 rocket \xe2\x80\x94 now to attempt a second landing https://t.co/TL4lL3eTdr https://t.co/1OmSu\xe2\x80\xa6
12782,[None],Thu Mar 30 23:08:50 +0000 2017,"RT @S101_Live: A day to remember for #SpaceX, successful launch of SES-10 on a flight-proven #Falcon9 + flawless booster recovery\xe2\x80\xa6 "
1768,['http://ln.is/WZrNy'],Thu Mar 30 22:49:04 +0000 2017,RT @CasualHookups: SpaceX Makes History https://t.co/jIpsPVYREZ
23730,['http://uni.vi/xnuu30aq3sS'],Thu Mar 30 22:50:49 +0000 2017,"RT @UniNoticias: Regresa a Tierra el Falcon 9 de #SpaceX, el primer cohete reutilizado de la historia. https://t.co/2rJPgbrDMQ https://t.co\xe2\x80\xa6"
1505,[],Thu Mar 30 23:06:23 +0000 2017,RT @SpaceX: Successful deployment of SES-10 to geostationary transfer orbit confirmed. https://t.co/FkVoUYSsmq
1502,"['http://www.spacex.com/webcast', 'https://www.youtube.com/watch?v=xfNO571C7Ko']",Thu Mar 30 22:26:47 +0000 2017,RT @BadAstronomer: T-1 minute. Here we go. Hosted webcast: https://t.co/ZMFqFA9Q8f\n\nTech \xe2\x80\x98cast: https://t.co/nJZm4eDb8N
3067,[],Thu Mar 30 22:47:38 +0000 2017,@SpaceX et le motor du 1er \xc3\xa9tage s\xe2\x80\x99est rallum\xc3\xa9 pour ralentir la descente\xe2\x80\xa6 https://t.co/EG5zdqrjKU
3560,['https://twitter.com/i/web/status/847579078253199362'],Thu Mar 30 22:39:34 +0000 2017,"""You can fly and re-fly an orbit class booster."" - @elonmusk CONGRATULATIONS, @SpaceX and @SES_Satellites! This is\xe2\x80\xa6 https://t.co/0MHpRjf2EN"
1617,['http://bbc.in/2nFmwBb'],Thu Mar 30 23:11:51 +0000 2017,RT @BBCWorld: Success for SpaceX 're-usable rocket' https://t.co/NLoIFKrXGw
13162,['https://twitter.com/spacex/status/847578231808991232'],Thu Mar 30 23:03:10 +0000 2017,The future of space travel will be privatized. https://t.co/aIZydjYQWE
2042,['https://meduza.io/news/2017/03/31/spacex-vpervye-zapustila-uzhe-letavshuyu-raketu-nositel'],Thu Mar 30 23:08:07 +0000 2017,RT @meduzaproject: \xd0\x9f\xd0\xb5\xd1\x80\xd0\xb2\xd0\xb0\xd1\x8f \xd0\xb2 \xd0\xb8\xd1\x81\xd1\x82\xd0\xbe\xd1\x80\xd0\xb8\xd0\xb8 \xd0\xb4\xd0\xb2\xd0\xb0\xd0\xb6\xd0\xb4\xd1\x8b \xd0\xb7\xd0\xb0\xd0\xbf\xd1\x83\xd1\x89\xd0\xb5\xd0\xbd\xd0\xbd\xd0\xb0\xd1\x8f \xd1\x80\xd0\xb0\xd0\xba\xd0\xb5\xd1\x82\xd0\xb0-\xd0\xbd\xd0\xbe\xd1\x81\xd0\xb8\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8c \xd0\xa3\xd0\xa1\xd0\x9f\xd0\x95\xd0\xa8\xd0\x9d\xd0\x9e \xd0\x9f\xd0\xa0\xd0\x98\xd0\x97\xd0\x95\xd0\x9c\xd0\x9b\xd0\x98\xd0\x9b\xd0\x90\xd0\xa1\xd0\xac! https://t.co/nSsYxiyyGo https://t.co/OlFRyEyrOY
12624,['https://twitter.com/SpaceX/status/847584330578669568'],Thu Mar 30 23:03:12 +0000 2017,Congratulations @SpaceX on this historic success! #space #whatsnext https://t.co/7zeZl1U8Ng
129371,[],Thu Mar 30 22:38:22 +0000 2017,RT @FoxEbenBrown: #SES10 @SpaceX succesfully lands recycled 1st stage of rocket.  Will same rocket be reused again? #fnr
1388,[],Thu Mar 30 22:25:46 +0000 2017,RT @astro_amanda: Falcon 9 on internal power! #Falcon9 #SES10 #SpaceX
7983,['https://twitter.com/aallan/status/847578853748944897'],Thu Mar 30 22:41:23 +0000 2017,"RT @MattRichardson: .@elonmusk ""It\'s taken us 15 years to achieve this."" https://t.co/zDDdXD2MfM"
1347,['https://twitter.com/spacex/status/847576049223254016'],Thu Mar 30 22:32:05 +0000 2017,Been watching this since liftoff and it's really incredible. The Falcon 9 is an amazing piece of technology. https://t.co/4yOMV50nKk
1693,['http://spacex.com/webcast'],Thu Mar 30 22:56:21 +0000 2017,RT @SpaceX: Back live for final burn and satellite deployment \xe2\x86\x92 https://t.co/gtC39uBC7z
1693,[],Thu Mar 30 23:02:11 +0000 2017,"RT @S101_Live: Eventually, #SpaceX plans to cut refurbishment to a few days which could reduce launch costs by up to a third. For now, the\xe2\x80\xa6"
1802,[],Thu Mar 30 22:43:26 +0000 2017,E agora vem a parte da depress\xc3\xa3o em que fico a pensar na merda de vidinha profissional que tenho... @SpaceX
300579,['http://read.bi/2mvKLPN'],Thu Mar 30 18:02:57 +0000 2017,"RT @businessinsider: SpaceX is about to launch/land the 1st used rocket in history, watch all its landings so far https://t.co/FigSHB4Jkj h\xe2\x80\xa6"
1427,[],Thu Mar 30 22:50:28 +0000 2017,"RT @XHNews: #BREAKING: #SpaceX launches ""used"" rocket into space for first time https://t.co/a478ufCA97"
2664,['http://www.theverge.com/2017/3/30/15117096/spacex-launch-reusable-rocket-success-falcon-9-landing?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter'],Thu Mar 30 22:40:46 +0000 2017,RT @verge: SpaceX makes aerospace history with successful landing of a used rocket https://t.co/jZAY32Z3ns https://t.co/jqjRt00WZK
2087,[],Thu Mar 30 22:38:22 +0000 2017,RT @ShorealoneFilms: HOLY CROW!!!!!!!!!!!!!!!! #SPACEX DOES IT AGAIN!!!!!!   #SES10
1642,[],Thu Mar 30 22:41:19 +0000 2017,RT @whitney_munro: Huge congrats to @spacex - you're bringing dreams of space exploration back to life for the next generation of explorers\xe2\x80\xa6
7494,[],Thu Mar 30 22:32:07 +0000 2017,Payload fairing sep.  No mention by SpaceX commentators that they may try to recover it.
11062,['http://dlvr.it/NmHwGJ'],Thu Mar 30 23:04:11 +0000 2017,SpaceX makes aerospace history with successful landing of a used rocket https://t.co/R6xZi76avi https://t.co/MwfJ98BWoI
3142,['https://goo.gl/vH6jc0'],Thu Mar 30 22:50:28 +0000 2017,"RT @xprize: It's a huge milestone for space, as #SpaceX has just flown &amp; landed a reused rocket for the 1st time: https://t.co/eMbez4iWO3 @\xe2\x80\xa6"
1677,[],Thu Mar 30 22:41:52 +0000 2017,RT @ID_R_McGregor: They did it!!! #spacex https://t.co/YXPf7Q6IGU
2665,['https://twitter.com/SpaceFrontier/status/847578943200923648'],Thu Mar 30 22:46:50 +0000 2017,RT @dsaezgil: Amazing! \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 https://t.co/oGrxMe76ms
18181,['http://dlvr.it/NmJ0Xw'],Thu Mar 30 23:08:38 +0000 2017,SpaceX recycles its rocket in historic first - CNET https://t.co/5Yl4vosz3r https://t.co/YjErz69AhZ
1523,[],Thu Mar 30 23:01:15 +0000 2017,RT @SpaceX: Successful deployment of SES-10 to geostationary transfer orbit confirmed. https://t.co/FkVoUYSsmq
2457,[None],Thu Mar 30 22:43:00 +0000 2017,RT @NASA: Congrats @SpaceX on another historic launch! Our iconic launch pads at @NASAKennedy continue to support the growing\xe2\x80\xa6
10295,[],Thu Mar 30 22:59:18 +0000 2017,RT @NPR: SpaceX has successfully relaunched a first stage of its Falcon 9 rocket.
1594,[],Thu Mar 30 22:33:18 +0000 2017,RT @tanyaofmars: Successful separation! #SpaceX #SES10 #Falcon9 https://t.co/BbfBiV7SnP
1938,[],Thu Mar 30 22:26:22 +0000 2017,#SpaceX #Falcon9 mit 1. Stufe im #ReUse und #SES10: Flugabbruchsystem scharf geschaltet.
1514,['http://www.theverge.com/2017/3/30/15117096/spacex-launch-reusable-rocket-success-falcon-9-landing?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter'],Thu Mar 30 22:38:54 +0000 2017,RT @verge: SpaceX makes aerospace history with successful landing of a used rocket https://t.co/jZAY32Z3ns https://t.co/jqjRt00WZK
22747,['http://ow.ly/R59j50axrKC'],Thu Mar 30 23:00:36 +0000 2017,SpaceX recycles its rocket in historic first - CNET https://t.co/Cbuv4wrfhg
7335,[],Thu Mar 30 22:56:09 +0000 2017,If you missed SpaceX here\xe2\x80\x99s a replay: https://t.co/CGXxvfrgSz
2498,[],Thu Mar 30 22:55:49 +0000 2017,RT @TheSpaceGal: HISTORIC. We have reusable orbital rockets everyone. #SpaceX https://t.co/mpTTjgdxxF
9128,[],Thu Mar 30 22:55:01 +0000 2017,RT @jonostrower: The Falcon Has Landed. Again. #SpaceX https://t.co/xrH4n6t8WM
20022,['https://bloom.bg/2nkXu6Z'],Thu Mar 30 22:40:36 +0000 2017,"#XRIM #MONEY business\n\nLiftoff! Elon Musk\xe2\x80\x99s SpaceX just launched its first \xe2\x80\x9cpreflown\xe2\x80\x9d rocket, making history https://t.co/NGIrlmLtbq \xe2\x80\xa6"
2268,[],Thu Mar 30 22:49:43 +0000 2017,RT @PaulMarks12: Pretty amazing. This rocket stage has now flown twice and landed twice. A giant step for reusability. #SpaceX https://t.co\xe2\x80\xa6
1276,[],Thu Mar 30 22:38:29 +0000 2017,".@SpaceX just landed a used rocket on a barge. Well done, rocket. https://t.co/IDgIjqXNJG"
1225,[],Thu Mar 30 22:45:48 +0000 2017,#SPACEX \xf0\x9f\x98\x8d
3469,['https://twitter.com/Importantnotimp/status/847578539008196608'],Thu Mar 30 22:37:58 +0000 2017,Fuck yes. #science #SpaceX https://t.co/qQKxIk5CML
5948,['https://twitter.com/SpaceX/status/847578231808991232'],Thu Mar 30 23:02:33 +0000 2017,"This is history happening here. One day, this may be seen as a greater moment for our species than ""one small step"". https://t.co/KmXP1QG274"
684784,['https://goo.gl/2pQ6ok'],Thu Mar 30 22:52:09 +0000 2017,Sigue en directo el primer lanzamiento de un cohete reutilizado de SpaceX https://t.co/ZZLqq2arfs https://t.co/WZs7IBWG2z
2787,[],Thu Mar 30 22:54:10 +0000 2017,RT @UnrealAllan: Impossible is\xe2\x80\xa6POSSIBLE! Congrats @SpaceX &amp; @ElonMusk for successful #Falcon9 Stage 1 reflight &amp; re-recovery! Awesome! #SES\xe2\x80\xa6
4431,"['http://cnb.cx/2mTX9go', 'http://lordcedric.com']",Thu Mar 30 22:34:54 +0000 2017,#DFJvc: RT CNBC: What SpaceX's reusable rocket means for satellite companies https://t.co/iYEFF9d4Sk https://t.co/CuwucYeU17 #Research
5477,['https://twitter.com/thespacegal/status/847578444284051457'],Thu Mar 30 22:53:48 +0000 2017,"RT @BenjySarlin: Good, we got to get away from those spiders https://t.co/28eaqoeQSs"
1905,['http://dlvr.it/NmHfXQ'],Thu Mar 30 22:44:26 +0000 2017,"SpaceX lan\xc3\xa7a Falcon 9, primeiro foguete reutilizado https://t.co/no65G8TZr5"
2976,['https://www.wired.com/2017/03/watch-spacex-launch-first-truly-reusable-rocket/'],Thu Mar 30 23:02:22 +0000 2017,RT WIREDScience: #SpaceX just relit the second stage engines to bring #SES10 to it's new orbital home. Tune in her\xe2\x80\xa6 https://t.co/E7jf6k6SXI
3920,[],Thu Mar 30 22:40:29 +0000 2017,"My God, it's beautiful! @SpaceX has made history launching and landing a #Falcon9 reusable rocket!! https://t.co/4ufABvaVic"
1366,['https://twitter.com/spacex/status/847576049223254016'],Thu Mar 30 22:34:23 +0000 2017,this is important guys https://t.co/sG1oviAden
2191,['https://twitter.com/spacex/status/847578231808991232'],Thu Mar 30 22:51:44 +0000 2017,RT @Vikkstar123: \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 https://t.co/0DY37AsbGk
1994,[],Thu Mar 30 22:27:25 +0000 2017,"GO BABY, GO!!! #SpaceX #Falcon9"
9828,[],Thu Mar 30 22:58:50 +0000 2017,"RT @Avron_p: @dfjsteve @kimbal @SpaceX this flight is huge, like the second wright brothers flight"
2126,[],Thu Mar 30 22:26:48 +0000 2017,30 sec #SpaceX
3231,[],Thu Mar 30 22:36:10 +0000 2017,SpaceX: Fairing has deployed.#spacex #elonmusk #tesla #space #RT
2306,[],Thu Mar 30 22:43:27 +0000 2017,RT @Daniel_Ohana: Twice to space and back! Stuck the landing! Yes! \xf0\x9f\x98\x83\xf0\x9f\x91\x8d\xf0\x9f\x9a\x80\n#SES10 #SpaceX https://t.co/zcl6XLoZFL
5525,[None],Thu Mar 30 22:53:59 +0000 2017,"RT @ABC: NEW: SpaceX\xc2\xa0launches its first recycled rocket, the Falcon 9, from the pad at\xc2\xa0NASA's Kennedy Space Center\xc2\xa0in Florid\xe2\x80\xa6 "
