followers_count,urls,created_at,text
86138,['http://apne.ws/2nQDAon'],Thu Mar 30 23:03:49 +0000 2017,RT @AP: SpaceX uses its first recycled rocket to send satellite into space; hopes to recycle even more parts. https://t.co/Py0ORC7SZI
1069029,[],Thu Mar 30 22:27:26 +0000 2017,Liftoff for SpaceX reused rocket!
3826,[],Thu Mar 30 22:30:04 +0000 2017,LIFTOFF BABY!! @SpaceX \xf0\x9f\x9a\x80\xf0\x9f\x8e\x85\xf0\x9f\x8d\x80\xf0\x9f\x9a\x80 https://t.co/4x2wY7LTnO
3031,['http://n.pr/2oeoSbt'],Thu Mar 30 22:32:03 +0000 2017,"RT @NPR: ""All systems continue to be good"" -- SpaceX launches a recycled rocket. Watch live: https://t.co/40W1O5dPe0"
2575,[],Thu Mar 30 22:47:55 +0000 2017,Congrats to @SpaceX on a successful relaunch!!!!
2976,[],Thu Mar 30 23:02:21 +0000 2017,"RT WIREDScience: If #SpaceX recovers the payload fairing, they might rack up another reusability first tonight. Board member dfjsteve says \xe2\x80\xa6"
9768,['http://bit.ly/2noKoqm'],Thu Mar 30 22:54:42 +0000 2017,SpaceX successfully re-launches an orbital Falcon 9 rocket for the first time #tech https://t.co/CDpJgbrN8J https://t.co/aRGxf1a2tX
21849,['https://twitter.com/i/web/status/847574612800045056'],Thu Mar 30 22:21:49 +0000 2017,Elon Musk intentar\xc3\xa1 hacer historia hoy con @SpaceX al lanzar un cohete Falcon 9 reciclado. Aqu\xc3\xad el stream en vivo:\xe2\x80\xa6 https://t.co/wrWxrxkhKM
1469,['https://corpgovnewsblog.wordpress.com/2017/03/31/there-and-back-again-spacex-launches-and-lands-the-same-rocket-for-the-2nd-time'],Thu Mar 30 22:48:46 +0000 2017,There and back again: SpaceX launches and lands the same rocket for the 2nd\xc2\xa0time https://t.co/7GY3sAdowb https://t.co/6yM8vopX9Q
8045,['https://twitter.com/i/web/status/847584716614230016'],Thu Mar 30 23:05:25 +0000 2017,#tech \xe2\x9b\xb1 #crunch Satellite successfully deployed to orbit. SpaceX has mission success in every sense of the word:\xe2\x80\xa6 https://t.co/qp4SpoPVqq
2953,['http://ow.ly/nnrJ50axr0M'],Thu Mar 30 22:45:34 +0000 2017,There and back again: SpaceX launches and lands the same rocket for the 2nd time https://t.co/xQh1sKEI1e
12516,[],Thu Mar 30 22:52:35 +0000 2017,RT @SpaceflightIns: The #Falcon9 first stage (Core 1021) launching #SES10 today was 1st flown during the #CRS8 mission to @Space_Station in\xe2\x80\xa6
