followers_count,hashtags,created_at,text
506790,[],Fri Mar 17 23:50:56 +0000 2017,"RT @Miles_Brundage: ""Using Human Brain Activity to Guide Machine Learning,"" Fong et al.: https://t.co/6qDZZNzUap"
154932,[],Sat Mar 18 00:01:48 +0000 2017,The 10 Most Innovative Companies In AI/Machine Learning 2017 &gt;&gt; https://t.co/Gy1DHYkJ09 https://t.co/pZq2uy9qRU
50544,[],Sat Mar 18 00:03:14 +0000 2017,Why Machine Learning Moves the Needle for Marketers\nhttps://t.co/rfgSFC0y9q https://t.co/bMNxsUp9zc
38635,"['MachineLearning', 'cognitive', 'cloud', 'IBMinterconnect']",Fri Mar 17 23:59:48 +0000 2017,RT @evankirstel: IBM launches #MachineLearning #cognitive platform for the private #cloud https://t.co/OCqirJtmZi #IBMinterconnect\xe2\x80\xa6 
38635,"['IBMWatson', 'IBMwatson', 'IBMinterconnect']",Sat Mar 18 00:00:03 +0000 2017,RT @evankirstel: Chintu is an #IBMWatson powered robot https://t.co/XIEhOJipXr #IBMwatson #IBMinterconnect https://t.co/b1ibL27aZO
24842,"['IBMWatson', 'IBMwatson', 'IBMinterconnect']",Sat Mar 18 00:04:57 +0000 2017,RT @evankirstel: Chintu is an #IBMWatson powered robot https://t.co/XIEhOJipXr #IBMwatson #IBMinterconnect https://t.co/b1ibL27aZO
24842,"['AI', 'MachineLearning']",Sat Mar 18 00:05:11 +0000 2017,RT @evankirstel: The 10 Most Innovative Companies In #AI/#MachineLearning 2017 | Fast Company https://t.co/6ejtOUMMCW https://t.co/4miQ8DAA\xe2\x80\xa6
24841,"['MachineLearning', 'cognitive', 'cloud', 'IBMinterconnect']",Sat Mar 18 00:04:47 +0000 2017,RT @evankirstel: IBM launches #MachineLearning #cognitive platform for the private #cloud https://t.co/OCqirJtmZi #IBMinterconnect\xe2\x80\xa6 
19170,"['AI', 'machinelearning', 'Fintech', 'ML', 'banking', 'tech']",Fri Mar 17 23:58:06 +0000 2017,RT @DeepLearn007: From buzzworthy to mandatory \xe2\x80\x93 #AI &amp; #machinelearning in financial crime &amp; compliance #Fintech #ML #banking #tech\xe2\x80\xa6 
11763,"['Cybercrime', 'machinelearning', 'AI', 'Fintech', 'CyberSecurity']",Fri Mar 17 23:54:14 +0000 2017,RT @reach2ratan: Can Machine Learning Fight #Cybercrime ? https://t.co/049WbDU9VY via @pcmag  #machinelearning #AI #Fintech #CyberSecurity\xe2\x80\xa6
11666,[],Sat Mar 18 00:01:55 +0000 2017,RT @LeadingCities: Opportunities for machine-learning startups: An investor\xc2\xa0perspective https://t.co/BBICbgVXGK https://t.co/ChSwSSF8Aq
9795,"['Analyticship', 'BI', 'BigData', 'Analytics']",Sat Mar 18 00:04:29 +0000 2017,"#Analyticship:#BI,#BigData,#Analytics:How does machine learning work or don't work? https://t.co/SxGNW5UI2h"
7323,"['SoftwareDevelopment', 'softwarehacks', 'google']",Fri Mar 17 23:49:05 +0000 2017,Google Machine Learning Made Simple(r) https://t.co/3MeFNsCGvw #SoftwareDevelopment #softwarehacks #google\xe2\x80\xa6 https://t.co/SeJdtPaNfo
6270,[],Sat Mar 18 00:01:47 +0000 2017,RT @HFmaracay: Tecnolog\xc3\xada de Georeferenciacion combinado con Machine Learning y el mundo es tuyo @rafaelje en @uptaragua_m https://t.co/i7D\xe2\x80\xa6
6129,[],Fri Mar 17 23:49:08 +0000 2017,RT @ProgrammingWrld: 8 Industries That Will Be Most Affected By Machine Learning https://t.co/Igjsj63Awl https://t.co/3hEBkYd39B
