followers_count,hashtags,created_at,text
11666,[],Sat Mar 18 00:01:55 +0000 2017,RT @LeadingCities: Opportunities for machine-learning startups: An investor\xc2\xa0perspective https://t.co/BBICbgVXGK https://t.co/ChSwSSF8Aq
9795,"['Analyticship', 'BI', 'BigData', 'Analytics']",Sat Mar 18 00:04:29 +0000 2017,"#Analyticship:#BI,#BigData,#Analytics:How does machine learning work or don't work? https://t.co/SxGNW5UI2h"
7323,"['SoftwareDevelopment', 'softwarehacks', 'google']",Fri Mar 17 23:49:05 +0000 2017,Google Machine Learning Made Simple(r) https://t.co/3MeFNsCGvw #SoftwareDevelopment #softwarehacks #google\xe2\x80\xa6 https://t.co/SeJdtPaNfo
6270,[],Sat Mar 18 00:01:47 +0000 2017,RT @HFmaracay: Tecnolog\xc3\xada de Georeferenciacion combinado con Machine Learning y el mundo es tuyo @rafaelje en @uptaragua_m https://t.co/i7D\xe2\x80\xa6
6270,[],Sat Mar 18 00:11:21 +0000 2017,RT @HFmaracay: Facebook est\xc3\xa1 marcando la tendencia web con el uso de Machine Learning El futuro es la Inteligencia Artificial\xe2\x80\xa6 
6129,[],Fri Mar 17 23:49:08 +0000 2017,RT @ProgrammingWrld: 8 Industries That Will Be Most Affected By Machine Learning https://t.co/Igjsj63Awl https://t.co/3hEBkYd39B
5789,"['ABATechshow', 'AI']",Sat Mar 18 00:26:17 +0000 2017,RT @FiscalNote: Our machine learning blog featured on @ltrc homepage! Read post: https://t.co/fZQohJz0Tt #ABATechshow #AI\xe2\x80\xa6 
5596,['datascience'],Fri Mar 17 23:48:32 +0000 2017,4 E-Books &amp; 5 Courses to Help You Perform Machine Learning Analytics &amp; Command High-Paying Jobs #datascience \n\nhttps://t.co/XNttQRoT7G
5470,[],Sat Mar 18 00:31:35 +0000 2017,Machine Learning with R Tutorial: Identifying Clustering Problems https://t.co/ENOZEGaoHJ https://t.co/hJ3FcNYtDJ
5269,[],Fri Mar 17 23:58:04 +0000 2017,RT @STRTKCMO: a16z Podcast: The Edge in Machine Learning Startups: A lot of machine learning startups initially feel a\xe2\x80\xa6 https://t.co/PbOkkw\xe2\x80\xa6
5269,['machinelearning'],Fri Mar 17 23:58:05 +0000 2017,"How are you @STRTKCMO we found your update on machine learning, I would like to chat more https://t.co/g8PTLFojFY #machinelearning"
5269,[],Fri Mar 17 23:58:08 +0000 2017,RT @felixcampano: a16z Podcast: The Edge in Machine Learning Startups https://t.co/JqbKzY2tZk
5269,['machinelearning'],Fri Mar 17 23:58:08 +0000 2017,"How are you @felixcampano I read your post about machine learning, can we chat? https://t.co/k3b8VbmoEF #machinelearning"
5269,[],Sat Mar 18 00:28:04 +0000 2017,RT @seefeld_: a16z Podcast: The Edge in Machine Learning Startups https://t.co/4XNOPL2aIB
5269,['machinelearning'],Sat Mar 18 00:28:04 +0000 2017,"What's up @seefeld_ I saw your tweet on machine learning, thanks for your content https://t.co/0M4rsE1qy9 #machinelearning"
5226,['machinelearning'],Sat Mar 18 00:33:24 +0000 2017,RT @jsphelan: Check out the latest Machine Learning for Cybersecurity Daily Update! https://t.co/PbsDpZbh28 #machinelearning
5223,['machinelearning'],Sat Mar 18 00:02:17 +0000 2017,RT @Stephanie_Hing: Google\xe2\x80\x99s new machine learning API recognizes and will allow you to search for objects in videos #machinelearning\xe2\x80\xa6 
4573,['Tistory'],Sat Mar 18 00:22:33 +0000 2017,[ #Tistory ][Hadoop Summit] Hivemall: Scalable machine learning library for Apache Hive/Spark/Pig - \xea\xb8\xb0\xea\xb3\x84\xed\x95\x99\xec\x8a\xb5 \xeb\x9d\xbc\xec\x9d\xb4\xeb\xb8\x8c\xeb\x9f\xac\xeb\xa6\xac https://t.co/MW7naSmJuS
4573,[],Sat Mar 18 00:23:19 +0000 2017,[Hadoop Summit] Hivemall: Scalable machine learning library for Apache Hive/Spark/Pig - \xea\xb8\xb0\xea\xb3\x84\xed\x95\x99\xec\x8a\xb5 \xeb\x9d\xbc\xec\x9d\xb4\xeb\xb8\x8c\xeb\x9f\xac\xeb\xa6\xac https://t.co/4JBcZfUIrq
4537,['MachineLearning'],Sat Mar 18 00:32:01 +0000 2017,RT @freyduni: The 10 Most Innovative Companies In AI/Machine Learning 2017 https://t.co/EGuMawbKTl #MachineLearning
4411,['startups'],Sat Mar 18 00:10:37 +0000 2017,a16z Podcast: The Edge in Machine Learning #startups  https://t.co/bH5jbMyakZ
4296,[],Sat Mar 18 00:18:06 +0000 2017,"The hashtag is dead, and machine learning killed it https://t.co/nVODDPJU5V"
